Source,Target,Weight
196|216,340,17.7727
196|216,216|196,10
196|216,212,11
196|216,222,13
196|216,211,12
196|216,23|196,11
196|216,341,10
196|216,215,11
196|216,341|196,13
196|216,222|196,10
340,22,485.29
340,217,891.414
340,212,1745.45
340,84,66
340,83,107.233
340,61,10
340,363,365.355
340,369,27.4333
340,365,321.097
340,164,52.125
340,153,47.25
340,20,213.8
340,205,230.419
340,339,135.2
340,202,45.1613
340,16,33.8064
340,204,163.286
340,366,606.452
340,220,921.8
340,23,1324.67
340,218,69.129
340,208,132.4
340,209,367.516
340,222,379.556
340,211,1254.22
340,203,103.655
340,206,14.1176
340,207,105.452
340,21,350.355
340,342,694.067
340,210,386.032
340,278,33.0769
340,26,20.4118
340,191,188.444
340,197,20.75
340,223,33.6667
340,89,11.5
340,364,23.8214
340,358,10
340,25,123.607
340,368,491.742
340,190,110.84
340,234,48.3704
340,224,18.1818
340,226,14
340,143,59.84
340,266,16.7857
340,287,12
340,225,14.4615
340,140,13.6667
340,341,249.033
340,196,347.556
340,219,29.4815
340,199,27.3548
340,19,24.5517
340,214,151.179
340,216,401.645
340,221,105.917
340,215,485.806
340,299,14.2857
340,163,42.2963
340,155,41.0645
340,181,38.36
340,158,44.28
340,162,28.25
340,233,17.7391
340,200,19.4444
340,142,14.85
340,367,98.6
340,159,32.9667
340,375,24.871
340,156,74.0968
340,180,29
340,157,50.1429
340,160,27.8667
340,213,264.355
340,201,21.9655
340,45,14.7895
340,192,135
340,178,53.4615
340,190|340,85
340,238,11.5714
340,152,21.76
340,229,11.5
340,14,10
340,149,23.7931
340,370,11
340,198,11
340,371,14.1176
340,113,11.8
340,281,11.3333
340,151,13.25
340,29,14
340,27,16.2727
340,221|340,82.2857
340,182,18.3571
340,157|340,69.6667
340,187,12.9091
340,183,13
340,175,10
340,288,10.5
340,32,10
340,148,12
340,341|340,178
340,193,10.6667
340,278|340,74.6
340,236,11.25
340,373,12
340,234|340,68
340,191|340,149.636
340,313,11
340,195,11.5
340,372,14.875
340,25|340,102.333
340,222|340,205.75
340,203|340,126
340,84|340,96.75
340,214|340,124
340,367|340,80.1667
340,211|340,1252.75
340,339|340,133.727
340,153|340,89.4545
340,220|340,1592
340,178|340,73.2
340,163|340,69.5
340,181|340,71.1667
340,158|340,85.6667
340,196|340,193
340,20|340,122
340,204|340,74.6667
340,143|340,59
340,164|340,89.5714
340,19|340,53
340,83|340,125
340,217|340,1373
340,364|340,50
340,369|340,55
340,180|340,59.6
340,160|340,62
340,159|340,61
340,192|340,80
340,162|340,61
340,223|340,91.75
340,23|340,1638
340,152|340,37
340,219|340,69
340,208|340,79
340,342|340,1033
216|196,340,10.5
216|196,217,13.375
216|196,23,12
216|196,211,14.05
216|196,21,11
216|196,342,12
368|204,22,13
368|204,217,14.6667
368|204,23,13
368|204,209,11
368|204,342,18
22,340,441.871
22,217,1126.6
22,212,504.226
22,84,69.6667
22,83,120
22,363,782.387
22,369,24.1613
22,365,529
22,164,28.5484
22,153,16.7097
22,20,509.935
22,205,383.29
22,339,224.581
22,202,39.9032
22,16,34.9355
22,204,178.161
22,366,990.71
22,220,1269.13
22,23,1387.3
22,218,87.5806
22,208,267.29
22,209,917.667
22,222,237.074
22,211,684.194
22,203,270.548
22,206,17.9355
22,207,172.065
22,21,1210.87
22,342,3018.74
22,210,1913.79
22,278,30.1333
22,26,15.52
22,191,30.0323
22,197,19.5333
22,223,29.0333
22,364,26.129
22,358,16.8
22,25,21.9032
22,368,1585.6
22,190,19.6667
22,234,61.6
22,224,13.8182
22,226,11
22,143,16.8929
22,266,12
22,225,10.6667
22,341,180.143
22,196,61.04
22,219,35.0645
22,199,20.3871
22,19,51.7692
22,214,172.857
22,216,210.6
22,221,144.077
22,215,146
22,299,14.5769
22,163,17.1481
22,155,11.2308
22,181,18.5862
22,158,32.871
22,162,15.4231
22,233,16.069
22,200,14.2
22,367,98.5769
22,159,20.2
22,375,17.6071
22,156,14.1111
22,180,20.3871
22,157,13.6111
22,160,16.5385
22,213,61.1667
22,201,18
22,192,23.5806
22,178,15.7143
22,152,12.375
