Source,Target,Weight
363,217,508.333
363,23,542.6
363,206,314.667
363,224,38.9677
363,299,17.2642
363,163,13.9211
363,358,34.1897
363,26,30.6667
363,197,38.7193
363,143,26.623
363,180,17.5893
363,155,11.1538
363,199,34.7321
363,200,24.6379
363,181,16.1765
363,191,30.6441
363,369,75.0526
363,226,20.1935
363,196,49.7419
363,281,13.186
363,158,36.7627
363,201,38.2414
363,25,30.7414
363,160,14.9091
363,370,16.5091
363,238,16.1091
363,89,13.3659
363,266,19.5614
363,192,16.5714
363,225,22.2419
363,153,13.9286
363,178,13.0667
363,164,22.875
363,375,15.3571
363,190,15.22
363,288,12.3846
363,205|363,4059.5
363,203|363,2274.61
363,204|363,1331.79
363,339|363,1653.11
363,366|363,1307.37
363,210|363,2177.73
363,20|363,1746.89
363,21|363,2279.16
363,368|363,433.941
363,342|363,1481.08
363,365|363,2472.68
363,208|363,848.532
363,341|363,134.153
363,221|363,142.038
363,211|363,354.462
363,202|363,214.655
363,207|363,611.548
363,19|363,231.845
363,22|363,805.393
363,209|363,789.097
363,216|363,140.934
363,340|363,347.792
363,212|363,371.884
363,218|363,272.689
363,220|363,666.87
363,278|363,108.196
363,234|363,217.527
363,222|363,315.344
363,213|363,67.02
363,223|363,98.4906
363,214|363,120.64
363,215|363,95.3125
363,84|363,243.719
363,83|363,259.31
363,219|363,110.1
363,233|363,92.8036
363,367|363,75.4615
363,16|363,123.783
363,364|363,72.0513
363,22,519
363,219,29
363,341,48.6667
363,368,468.455
363,202,235.429
363,84,153.6
363,19,249.75
363,222,395
363,83,122.75
363,221,50.1
363,220,651.125
363,218,314
363,340,366.556
363,278,93
363,233,51.3333
363,212,386.632
363,223,66.3333
363,234,85.1429
363,211,372.1
363,367,42.1
363,215,74.7857
363,364,53.4783
363,16,65
363,161,12
363,113,14.5714
363,152,10.3333
363,159,17.82
363,162,12.7667
363,241,12.2273
363,229,15.9318
363,198,10.25
363,156,10.4545
363,371,14.0882
363,157,12.0625
363,14,11.5
363,213,43.4167
363,339,504
363,216,62
363,214,42.9167
363,17,13
363,149,10
363,27,10.5
363,61,11.5714
363,235,10.875
363,287,20
363,252,10
363,115,11.2
363,236,10
363,360,13.5
363,206|363,255.232
363,23|363,539.173
363,196|363,63.129
363,369|363,92.3256
363,47,10
363,200|363,24.6667
363,26|363,56.2
363,217|363,584.286
363,50,11.5
363,25|363,41.25
363,201|363,49
363,199|363,47
363,299|363,23.3333
363,158|363,55
363,358|363,45.3333
363,197|363,49
363,371|363,16
363,191|363,40.3333
363,266|363,40
363,17|363,95
363,143|363,27
217,363,636.286
217,206,20
217,224,16.4167
217,299,26.7619
217,163,38.431
217,358,13.8696
217,26,17.7692
217,197,42.7551
217,143,30.4821
217,180,39.5849
217,155,20
217,199,53.5714
217,200,32.5862
217,181,41.8983
217,191,61.5
217,369,32.4516
217,226,14.1
217,281,10.6
217,158,57.8667
217,201,33.5667
217,25,45.6957
217,160,34.0656
217,370,13.75
217,238,11.1538
217,89,10.8
217,266,15.0667
217,192,48.625
217,225,14.7805
217,153,48.6034
217,178,43.193
217,164,57.3488
217,375,29.7903
217,190,43.4054
217,288,11.2
217,22,558
217,208,427
217,219,54.2857
217,341,559.389
217,202,46.1429
217,84,69.5
217,19,48.9167
217,222,676.278
217,83,139.143
217,221,541.722
217,220,608.857
217,340,649.462
217,278,42.386
217,233,19.8305
217,212,597.438
217,223,45.6316
217,234,61.7857
217,365,414.25
217,367,52
217,366,565.692
217,215,477.857
217,364,31
217,16,52.5893
217,161,11.6667
217,113,15.9024
217,152,23.2982
217,159,38.1613
217,162,32.0328
217,241,11.3125
217,229,12.4
217,198,13.1471
217,156,35.9455
217,371,14.5581
217,157,35.4407
217,142,13.2273
217,14,14.1429
217,216,627.75
217,214,421.8
217,17,18
217,210,677.75
217,205,354.5
217,207,351
217,149,18.6102
217,182,16.75
217,27,15.5455
217,183,11.875
217,342|217,3320.02
217,363|217,548.2
217,210|217,1110.45
217,23|217,1632.06
217,21|217,1277.9
217,214|217,726.018
217,368|217,2444.06
217,211|217,1987.34
217,209|217,2444.06
217,22|217,1114.38
217,20|217,928.871
217,341|217,534.068
217,222|217,723.955
217,216|217,685.414
217,205|217,316.339
217,220|217,559.729
217,339|217,218.613
217,203|217,230.258
217,208|217,507.446
217,207|217,337.298
217,365|217,364.276
217,366|217,478.367
217,212|217,832.891
217,196|217,159.532
217,204|217,174.903
217,218|217,187.613
217,234|217,93
217,19|217,70.0526
217,213|217,116.565
217,215|217,359.218
217,84|217,103.833
217,219|217,81.8545
217,191|217,97.1
217,299|217,40.6829
217,151,12.2667
217,373,11.5714
217,287,14.5
217,148,11
217,140,12.8
217,141,12
217,45,13.75
217,313,11.25
217,29,10.6875
217,193,10
217,115,10
217,66,11.3
217,236,12.4286
217,187,12.5
217,360,11.5
217,372,13
217,195,11.375
217,83|217,162.5
217,221|217,527.477
217,367|217,78.625
217,340|217,954.571
217,192|217,68.3913
217,175,11.8
217,25|217,78.2308
217,202|217,72.75
217,32,11.4
217,223|217,72.2
217,278|217,60.2
217,190|217,73.8
217,158|217,76.7059
217,199|217,87.6154
217,197|217,68.3846
217,16|217,80
217,156|217,67.1429
217,180|217,57.3333
217,153|217,59.25
217,164|217,75.5789
217,181|217,58.3333
217,178|217,60.2
217,163|217,50
217,371|217,26
217,200|217,56.25
217,160|217,42
217,157|217,54.3333
217,143|217,46.5
217,201|217,55.5
217,364|217,50
217,162|217,50
217,155|217,36
23,206,20
23,224,14.6889
23,299,15.9298
23,163,23.0484
23,358,13.6053
23,26,14.1143
23,197,19.3333
23,143,20.75
23,180,27.5806
23,155,15.3818
23,199,22.918
23,200,15
23,181,22.3279
23,191,38.6364
23,369,25.9516
23,226,12.0417
23,158,38.1967
23,201,16.3509
23,25,34.0435
23,160,17.6393
23,238,10
23,89,10
23,266,12.2353
23,192,32.7556
23,225,12.3846
23,153,30.4032
23,178,27.9032
23,164,39.082
23,375,20.3621
23,190,29.9298
23,208,219.667
23,219,33.25
23,341,281
23,202,41.5349
23,20,390
23,84,65.7143
23,19,35.7907
23,83,114.702
23,221,192
23,220,770
23,218,57.25
23,340,884.75
23,209,501.5
23,278,28.1167
23,233,16.5455
23,212,664
23,223,30.5968
23,234,56.3913
23,365,409
23,367,80
23,366,659
23,364,20.6833
23,16,36.5517
23,161,11.5
23,21,517
23,113,11.5
23,152,12.4474
23,159,23.8621
23,162,18.5
23,241,10
23,229,11
23,198,10
23,156,23.9153
23,371,14.3125
23,157,23.0984
23,142,11.25
23,213,222
23,216,426
23,214,277.6
23,17,33.5
23,210,728
23,205,341.5
23,149,13.0833
23,182,14.4615
23,27,12.2
23,183,10.6
23,22|23,1089.58
23,365|23,405.431
23,220|23,1005.59
23,366|23,743.475
23,210|23,973.328
23,368|23,1473.29
23,21|23,748.852
23,211|23,1451.08
23,209|23,697.317
23,342|23,1633.63
23,217|23,1757.06
23,341|23,258.082
23,221|23,173.966
23,340|23,835.741
23,363|23,546.71
23,205|23,297.179
23,339|23,179.161
23,208|23,195.61
23,203|23,196.952
23,20|23,377.544
23,216|23,418.12
23,207|23,145.742
23,212|23,967.852
23,196|23,126.516
23,204|23,148.129
23,218|23,85.6724
23,202|23,60.4737
23,222|23,350.403
23,213|23,154.951
23,214|23,212.07
23,215|23,235.435
23,84|23,96.439
23,25|23,59.1875
23,206|23,28.2
23,367|23,122.23
23,287,11
23,140,10.25
23,45,15.6667
23,236,11.5
23,187,10.5
23,372,10
23,83|23,131.067
23,234|23,87.8205
23,191|23,70.6111
23,158|23,48
23,192|23,46.0588
23,19|23,49.2105
23,219|23,42.6667
23,164|23,58
23,278|23,32
23,16|23,63.25
23,371|23,29.5
23,190|23,77.4
23,156|23,50
206,363,229.294
206,217,16.5185
206,23,17.6207
206,26,11
206,369,10.6
206,22,20.2692
206,208,27.6275
206,219,10.9167
206,341,11.25
206,368,15.12
206,202,12.36
206,20,39.1707
206,84,22.2333
206,19,13.0313
206,222,19.2391
206,83,15.9474
206,221,12.5
206,220,23.5439
206,218,14.66
206,340,15.225
206,209,27.3167
206,278,18.8167
206,233,18.3333
206,212,15.8393
206,223,11.9545
206,234,17.5918
206,363|206,198.889
206,205|206,357.774
206,339|206,89.725
206,210|206,76.0313
206,342|206,62.3158
206,203|206,89.2826
206,21|206,76.5667
206,207|206,35.8
206,365|206,78.7714
206,366|206,52.25
206,204|206,149.346
206,204,122.4
206,365,46.5926
206,211,13.225
206,367,10.6667
206,366,37.8448
206,364,12.1333
206,16,11.3333
206,21,46.2813
206,213,10
206,339,50.0455
206,214,10
206,210,38.5667
206,203,46.1875
206,205,411.778
206,207,27.6111
206,342,51.093
206,20|206,51.05
206,208|206,41.2727
206,209|206,42
206,218|206,29
224,363,60.3725
224,217,12.1667
224,23,12.4375
224,358,11.6923
224,191,18.08
224,369,60.4324
224,226,24.0678
224,281,13.4286
224,25,15.8889
224,370,10
224,89,11.25
224,225,15.7317
224,22,12.2222
224,208,11
224,368,10.5
224,202,12
224,20,14.6667
224,84,73.4151
224,83,30.871
224,220,13.7778
224,218,10
224,340,27.8909
224,209,14.8611
224,278,20.1864
224,233,18.7321
224,212,16.2895
224,223,20.6071
224,234,50.1452
